id,position,stratum,family,format_valid,decision_correct,internally_consistent,full_correct,false_clear,false_report,strict_json,decision_valid,reason_correct,selected_exact,count_exact,eos_finished,order_assessable,requested_order_followed
rc-calibration-00150,66,clear,current__none__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00053,67,trigger_report,current__approved_only__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00069,68,control_report,all__approved_only__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00116,69,control_report,all__none__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00169,70,clear,current__none__events,1,0,0,0,0,1,1,1,1,1,1,1,1,1
rc-calibration-00028,71,trigger_report,all__none__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00057,72,trigger_report,current__approved_only__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00114,73,control_report,current__approved_only__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00148,74,clear,all__none__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00084,75,control_report,all__none__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00125,76,control_report,all__none__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00113,77,control_report,all__approved_only__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00018,78,trigger_report,current__approved_only__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00023,79,trigger_report,all__none__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00005,80,trigger_report,all__none__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00008,81,trigger_report,all__none__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00178,82,clear,all__none__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00126,83,control_report,current__none__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00140,84,clear,current__none__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00052,85,trigger_report,all__approved_only__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00039,86,trigger_report,current__approved_only__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00001,87,trigger_report,all__approved_only__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00100,88,control_report,all__approved_only__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00007,89,trigger_report,all__none__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00049,90,trigger_report,current__none__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00187,91,clear,current__none__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00129,92,clear,all__approved_only__issues,1,0,0,0,0,1,1,1,1,1,1,1,1,1
rc-calibration-00174,93,clear,all__none__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00016,94,trigger_report,all__approved_only__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00093,95,control_report,all__approved_only__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00026,96,trigger_report,current__none__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00092,97,control_report,current__approved_only__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00043,98,trigger_report,all__none__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00111,99,control_report,all__none__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00145,100,clear,current__none__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00058,101,trigger_report,current__none__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00171,102,clear,current__none__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00059,103,trigger_report,current__approved_only__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00139,104,clear,all__none__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00123,105,control_report,current__approved_only__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00138,106,clear,current__approved_only__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00071,107,control_report,current__approved_only__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00109,108,control_report,current__none__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00013,109,trigger_report,all__none__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00080,110,control_report,current__approved_only__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00075,111,control_report,current__none__issues,1,1,0,0,0,0,1,1,1,0,0,1,1,1
rc-calibration-00179,112,clear,all__approved_only__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00168,113,clear,current__approved_only__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00074,114,control_report,current__approved_only__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00078,115,control_report,all__none__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00004,116,trigger_report,current__approved_only__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00162,117,clear,all__approved_only__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00012,118,trigger_report,current__none__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00011,119,trigger_report,all__approved_only__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00134,120,clear,current__approved_only__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00127,121,control_report,all__approved_only__issues,1,1,0,0,0,0,1,1,1,0,0,1,1,1
rc-calibration-00076,122,control_report,current__approved_only__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
